Year;S&P 500 (includes dividends);US T. Bond;Cálculo ERP (S&P 500 - T.Bonds);Média
1928;0,438111552;0,008354709;0,429756843;0.066
1929;-0,082979466;0,042038042;-0,125017508;
1930;-0,251236364;0,045409314;-0,296645678;
1931;-0,438375489;-0,02558856;-0,412786929;
1932;-0,086423645;0,08790307;-0,174326715;
1933;0,499822254;0,018552721;0,481269533;
1934;-0,011885657;0,079634426;-0,091520083;
1935;0,467404211;0,044720477;0,422683733;
1936;0,319434103;0,050178754;0,269255349;
1937;-0,353367288;0,013791461;-0,367158748;
1938;0,29282654;0,042132485;0,250694055;
1939;-0,010975647;0,044122614;-0,055098261;
1940;-0,106728732;0,054024816;-0,160753548;
1941;-0,127714556;-0,020221976;-0,10749258;
1942;0,191737629;0,022948682;0,168788947;
1943;0,250613101;0,0249;0,225713101;
1944;0,190306769;0,025776112;0,164530658;
1945;0,358210843;0,038044173;0,32016667;
1946;-0,084291475;0,031283745;-0,11557522;
1947;0,052;0,009196968;0,042803032;
1948;0,057045752;0,019510369;0,037535382;
1949;0,183032237;0,046634852;0,136397385;
1950;0,30805539;0,004295957;0,303759433;
1951;0,23678463;-0,002953139;0,23973777;
1952;0,181509886;0,022679962;0,158829924;
1953;-0,012082047;0,041438403;-0,05352045;
1954;0,525633212;0,032898035;0,492735178;
1955;0,325973319;-0,013364391;0,33933771;
1956;0,074395119;-0,022557738;0,096952857;
1957;-0,104573602;0,067970128;-0,17254373;
1958;0,43719955;-0,020990182;0,458189732;
1959;0,120564572;-0,026466313;0,147030884;
1960;0,003365353;0,116395037;-0,113029684;
1961;0,26637713;0,020609208;0,245767922;
1962;-0,088114605;0,056935441;-0,145050046;
1963;0,226119271;0,016841621;0,20927765;
1964;0,164154559;0,037280649;0,12687391;
1965;0,123992425;0,007188551;0,116803874;
1966;-0,099709542;0,029079409;-0,128788952;
1967;0,238029665;-0,01580621;0,253835875;
1968;0,108148627;0,032746197;0,07540243;
1969;-0,082413711;-0,050140493;-0,032273218;
1970;0,035611449;0,167547372;-0,131935923;
1971;0,142211503;0,097868966;0,044342537;
1972;0,187553629;0,028184491;0,159369139;
1973;-0,143080474;0,036586646;-0,17966712;
1974;-0,259017858;0,019886087;-0,278903944;
1975;0,369951371;0,036052536;0,333898835;
1976;0,23830999;0,159845607;0,078464383;
1977;-0,069797041;0,012899606;-0,082696647;
1978;0,065092839;-0,007775807;0,072868646;
1979;0,185194902;0,006707203;0,178487699;
1980;0,317352455;-0,029897443;0,347249898;
1981;-0,047023902;0,081992153;-0,129016056;
1982;0,204190551;0,328145495;-0,123954944;
1983;0,223371559;0,032002094;0,191369464;
1984;0,06146142;0,137333643;-0,075872223;
1985;0,312351495;0,257124882;0,055226613;
1986;0,184945788;0,242842151;-0,057896364;
1987;0,058127216;-0,049605089;0,107732306;
1988;0,165371928;0,082235958;0,08313597;
1989;0,314751836;0,176936472;0,137815365;
1990;-0,030644516;0,062353753;-0,092998269;
1991;0,302348431;0,1500451;0,152303331;
1992;0,07493728;0,093616373;-0,018679093;
1993;0,099670515;0,142109576;-0,042439061;
1994;0,013259207;-0,080366556;0,093625762;
1995;0,371951989;0,234807801;0,137144188;
1996;0,22680966;0,014286078;0,212523582;
1997;0,331036531;0,099391303;0,231645228;
1998;0,283379533;0,149214319;0,134165214;
1999;0,20885351;-0,082542148;0,291395658;
2000;-0,09031819;0,166552671;-0,256870861;
2001;-0,118497591;0,055721812;-0,174219403;
2002;-0,21966048;0,151164004;-0,370824483;
2003;0,283558001;0,003753186;0,279804815;
2004;0,107427759;0,044906837;0,062520922;
2005;0,048344775;0,02867533;0,019669446;
2006;0,15612558;0,019610012;0,136515567;
2007;0,054847352;0,102099219;-0,047251867;
2008;-0,365523441;0,201012799;-0,56653624;
2009;0,259352339;-0,111166953;0,370519292;
2010;0,148210923;0,084629339;0,063581584;
2011;0,020983747;0,16035335;-0,139369603;
2012;0,158905852;0,02971572;0,129190133;
2013;0,321450859;-0,091045688;0,412496547;
2014;0,135244216;0,107461805;0,027782412;
2015;0,013788916;0,012842997;0,00094592;
2016;0,117730809;0,006905505;0,110825304;
2017;0,216054814;0,028017163;0,188037652;
2018;-0,042268693;-0,000166924;-0,042101769;
2019;0,3121168;0,096356307;0,215760493;
2020;0,180232018;0,113318976;0,066913042;
2021;0,284688518;-0,044160344;0,328848862;
2022;-0,180089715;-0,178281715;-0,001808;
